id,age,gender,profession,quadrant,type,content,category
251,30-40歲,F,等待中的伴侶,Q3,熱情追尋者 Passionate Seekers,37歲還沒找到方向。看著先生26歲荒唐到36歲開竅，不急。,探索中 / 尚未定義
252,20-30歲,M,自媒體／政治倡議者,Q3,熱情追尋者 Passionate Seekers,2024年發現台灣社群藍白紅聲量遠超台派，決定投入自媒體。漸漸了解人生方向。,影音 / 媒體
253,20歲以下,,（搞笑）龜派氣功,Q4,意外發現者 Accidental Naturals,6歲看七龍珠學龜派氣功，把牆打穿了一個洞。從此知道此生注定是武道家。（幽默留言）,探索中 / 尚未定義
254,30-40歲,,自我探索哲學,Q3,熱情追尋者 Passionate Seekers,認為沒有人天生知道天賦，只能試錯和沉澱。要允許自己因錯誤選擇付出代價，只要覺得朝著想要的方向走就好。,探索中 / 尚未定義
255,20-30歲,F,業務,Q4,意外發現者 Accidental Naturals,28歲才知道自己是當業務的料。之前覺得低聲下氣丟臉。快窮死的時候發現彈性上班又賺錢的日子才是自己要的。,探索中 / 尚未定義
256,40歲以上,F,照顧者,Q4,意外發現者 Accidental Naturals,43歲因緣際會考了保母證照，在特教學校照顧特教生。發現適合照顧和幫助人的職業。不管幾歲開始都不算晚。,探索中 / 尚未定義
257,30-40歲,M,半導體創業者,Q1,被迫適應者 Forced Adapters,被合夥人捲款，變賣所有房產賠償客戶和員工。從零開始扛螺絲、物流拉貨、每天只睡四到六小時。幾年後重新開公司，現在在竹科有近百坪商辦。,工程 / 科技
258,20歲以下,F,英文老師,Q4,意外發現者 Accidental Naturals,9歲在補習班看到英文老師閃閃發光。但掙扎到26歲才決定當老師。建議用「想過的生活」來看職業比較準確。,教育 / 顧問
259,40歲以上,F,韓文老師／口譯,Q3,熱情追尋者 Passionate Seekers,41歲跑去韓國進修韓文，班上都是20幾歲。開始教韓文、做口譯。不知道天賦是什麼，但順流相信每一步都是最好的安排。,教育 / 顧問
260,20-30歲,,廣告行銷老手,Q4,意外發現者 Accidental Naturals,從小有天馬行空想法和創意思維。很早接觸網路，加上大學念傳播，畢業後一直做廣告行銷社群。累積投放過的廣告費大概快十億。,探索中 / 尚未定義
261,30-40歲,F,身心靈療癒者,Q4,意外發現者 Accidental Naturals,31歲發現在療癒身心靈有很大天賦。每天都在學習和安排新事物，目標推廣到全世界。,探索中 / 尚未定義
262,20-30歲,F,空中瑜珈／鉤針老師,Q3,熱情追尋者 Passionate Seekers,28歲同時接觸空中瑜珈和鉤針，都轉化為教學事業。,教育 / 顧問
263,30-40歲,,戶外產業工作者,Q2,策略轉型者 Strategic Pivoters,36.7歲從餐飲業轉職戶外產業。起因只是想完成台灣人必做三件事之一的爬山。做了覺得有趣就一路做到44歲。,運動 / 戶外
264,40歲以上,F,母親,Q4,意外發現者 Accidental Naturals,43歲覺得一事無成什麼都不會。但孩子出狀況時能第一時間出現、陪伴、接住。自學當好媽媽就是唯一天賦。,探索中 / 尚未定義
265,30-40歲,,追求和平的生活者,Q3,熱情追尋者 Passionate Seekers,33歲後不想委屈自己，接近40歲理念更清晰但仍不容易，很難找到同路人。,探索中 / 尚未定義
266,30-40歲,F,肉桂捲斜槓,Q4,意外發現者 Accidental Naturals,34歲左右買到很貴但只能填牙縫的肉桂捲，開始自己做。意外變成斜槓。,多元斜槓
267,30-40歲,M,廣告導演,Q3,熱情追尋者 Passionate Seekers,軍官轉創業開影像公司。前兩年吃老本，後來靠自學和自媒體做了五年越來越穩。現在過的就是夢想中的日子。,影音 / 媒體
268,30-40歲,M,法理建國倡議者,Q3,熱情追尋者 Passionate Seekers,2020年底知道台灣地位未定，開始投入倡議法理建國。做倡議不能支持生活支出，但可以支持繼續過生活的意義。,探索中 / 尚未定義
269,30-40歲,F,花藝師（從電商轉職）,Q1,被迫適應者 Forced Adapters,電商工作15年，親近的下屬輕生讓她走不出來半年。接觸花藝被療癒，35歲決定投入。覺得老天會鋪一條路。,創業 / 商業
270,20-30歲,M,網路行銷創業者,Q3,熱情追尋者 Passionate Seekers,21歲買車經營社群，意外發現網路行銷。大學就月入六位數。嘗試上班族發現不適合，回歸自由工作模式。,創業 / 商業
271,20-30歲,F,游泳教練／課後老師,Q4,意外發現者 Accidental Naturals,高中打工覺得基本薪資不公平，開始探索高時薪的教學工作。發現喜歡教學，從沒想過功課不好也能當老師。,教育 / 顧問
272,20歲以下,,料理天才,Q4,意外發現者 Accidental Naturals,7歲第一次炒飯成功，沒人教過，完全看電視偶像劇學的。,餐飲 / 生活
273,30-40歲,M,魔術師轉咖啡師,Q3,熱情追尋者 Passionate Seekers,原本是魔術師但收入不穩。想開數碼寶貝咖啡廳但不懂咖啡，所以進入咖啡業。做了八年還沒完成夢想但學到了技能。,餐飲 / 生活
274,30-40歲,M,一人公司老闆／吉他老師,Q3,熱情追尋者 Passionate Seekers,35歲一邊上班一邊一人創業一邊教吉他。從50萬資本做到年營業額4000萬、五人公司。沒什麼天賦，只想照顧好同事和家人。,教育 / 顧問
275,20-30歲,F,美容師,Q3,熱情追尋者 Passionate Seekers,家裡希望讀理科但她愛文組和美容。轉做美容師沒餓死，雖然不到100%支撐生活但很快樂。,設計 / 美學
276,20歲以下,F,音樂人（進行中）,Q3,熱情追尋者 Passionate Seekers,15歲因為愛唱歌出國學音樂。多年後收入不穩、常常懷疑，但還是在堅持路上。,創作者 / 藝術
277,20-30歲,M,健身房老闆,Q3,熱情追尋者 Passionate Seekers,從健身想變瘦變成興趣，再變成教練和老闆。發現要的是使命感——幫學生改變體態看到他們微笑比賺錢更快樂。,創業 / 商業
278,30-40歲,,蛋糕裝飾愛好者,Q3,熱情追尋者 Passionate Seekers,快35歲還在困惑，今年發現喜歡抹蛋糕。不確定會喜歡多久，但往美的方向應該不會錯。,探索中 / 尚未定義
279,20-30歲,M,資安工程師,Q3,熱情追尋者 Passionate Seekers,20歲學Coding意外學會做Hacker，現在幫大大小小公司做網絡安全測試。120%熱誠。,工程 / 科技
280,20-30歲,M,美髮設計師,Q3,熱情追尋者 Passionate Seekers,小時候想當導演，17歲當汽修，23歲開模型店虧錢，24歲做房仲，25歲學美髮。29歲覺得終於找到最有熱情的工作。,設計 / 美學
281,30-40歲,F,美髮設計師／沙龍老闆,Q3,熱情追尋者 Passionate Seekers,15歲愛上做頭髮，被好的設計師和店長鼓勵栽培。從業19年，29歲開了自己的美髮店。,設計 / 美學
282,30-40歲,,健身持續者,Q3,熱情追尋者 Passionate Seekers,沒什麼天賦但持續運動。起因是喜歡的衣服穿不下了，後來養成習慣。做久了就不累了。,探索中 / 尚未定義
283,30-40歲,,供應鏈／金融專家,Q3,熱情追尋者 Passionate Seekers,從高中就喜歡商業。進入科技業供應鏈再到金融研究，快15年。不是天賦但很能熬。,金融 / 投資
284,20-30歲,,方向發現者,Q3,熱情追尋者 Passionate Seekers,27歲發現方向，30歲真正領悟。相信遭遇和轉捩點會帶來答案。,探索中 / 尚未定義
285,20-30歲,,轉職探索者,Q3,熱情追尋者 Passionate Seekers,28歲離開安逸工作選擇挑戰技術工作，希望開發天賦。,探索中 / 尚未定義
286,20-30歲,F,故事行銷專家,Q4,意外發現者 Accidental Naturals,29歲發現自己蠻喜歡故事行銷且銷售成績不錯，找了理念相符的公司一直做下去。幸運找到自己的sparkle。,探索中 / 尚未定義
287,20-30歲,F,手作寵物飾品,Q3,熱情追尋者 Passionate Seekers,從小就很會做手作。好奇一綑毛線怎麼做出東西就開始研究自學，到現在可以發明自己的商品。,手作 / 工藝
288,30-40歲,,意外發展的興趣,Q4,意外發現者 Accidental Naturals,意外接觸有興趣的東西就繼續研究，找到了兩個領域，中後期都變現到能當工作的程度。,探索中 / 尚未定義
